CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,133,24,330,320,1.283,35,i,10,0,301,19,0,0
CURclassMarker,1607,134,24,330,320,1.292,35,i,10,0,301,19,0,0
CURclassMarker,1607,135,25,330,320,1.301,35,i,10,0,301,19,0,0
CURclassMarker,1607,136,25,330,320,1.31,35,i,10,0,301,19,0,0
CURclassMarker,1607,137,25,330,320,1.32,35,i,10,0,301,19,0,0
CURclassMarker,1607,138,25,330,320,1.329,35,i,10,0,301,19,0,0
CURclassMarker,1607,139,26,330,320,1.34,35,i,10,0,301,19,0,0
CURclassMarker,1607,140,26,330,320,1.349,35,i,10,0,301,19,0,0
CURclassMarker,1607,141,26,330,320,1.358,35,i,10,0,301,19,0,0
CURclassMarker,1607,142,27,330,320,1.367,35,i,10,0,301,19,0,0
CURclassMarker,1607,143,28,330,320,1.376,35,i,10,0,301,19,0,0
CURclassMarker,1607,144,28,330,320,1.385,35,i,10,0,301,19,0,0
CURclassMarker,1607,145,28,330,320,1.394,35,i,10,0,301,19,0,0
CURclassMarker,1607,146,28,330,320,1.403,35,i,10,0,301,19,0,0
CURclassMarker,1607,147,29,330,320,1.412,35,i,10,0,301,19,0,0
CURclassMarker,1607,148,29,330,320,1.421,35,i,10,0,301,19,0,0
CURclassMarker,1607,149,29,330,320,1.43,35,i,10,0,301,19,0,0
CURclassMarker,1607,150,29,330,320,1.453,35,i,10,0,301,19,0,0
CURclassMarker,1607,151,30,330,320,1.462,35,i,10,0,301,19,0,0
CURclassMarker,1607,152,30,330,320,1.471,35,i,10,0,301,19,0,0
CURclassMarker,1607,153,30,330,320,1.481,35,i,10,0,301,19,0,0
CURclassMarker,1607,154,30,330,320,1.504,35,i,10,0,301,19,0,0
CURclassMarker,1607,155,31,330,320,1.513,35,i,10,0,301,19,0,0
CURclassMarker,1607,156,31,330,320,1.522,35,i,10,0,301,19,0,0
CURclassMarker,1607,157,31,330,320,1.531,35,i,10,0,301,19,0,0
